"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Children--Books and reading--English-speaking countries","general term","018375958","Monograph","Language material ; Text","Volume","GBB796499","9781138284661 ; 9781138284678","","Groves, Beatrice","1978-","person","author","Groves, Beatrice, 1978-, author [person]","Literary allusion in Harry Potter","","","","England","London","Routledge","2017","","1 volume, 24 cm","823.92","","","English","Additional physical form: ebook version. 9781351978729"
"Children--Books and reading--English-speaking countries","general term","018377560","Monograph","Language material ; Text","Online resource (ebook ; Mobipocket ebook ; PDF ebook ; ePub ebook)","GBB798100","9781315269337 ; 9781351978712 ; 9781351978729 ; 9781351978736","","Groves, Beatrice","1978-","person","author","Groves, Beatrice, 1978-, author [person]","Literary allusion in Harry Potter","","","","England","London","Routledge","2017","","1 online resource","823.914","ELD.DS.147235","","English","Additional physical form: Print version. 9781138284661"
"Children--Books and reading--France--History--Exhibitions","general term","014892451","Monograph","Language material ; Text","Volume","","9782717724226","","","","","","Piffault, Olivier [person] ; Bibliothèque nationale de France [organisation]","Babar, Harry Potter & Cie : livres d'enfants d'hier et d'aujourd'hui","","","","France","Paris","Bibliothèque Nationale","2008","","580 pages, illustrations (some colour), 21 cm","809","YF.2009.a.15587","Exhibition","French","Exhibition catalogue"
"Children--Religious life","general term","011801794","Monograph","Language material ; Text","Volume","GBA248361","9781859995785","","","","","","Pollard, Nick [person] ; Scripture Union [organisation]","What does the Bible say about...Harry Potter : themes of magic, adolescence, ambition, good and evil","","Connect Bible studies","","England","Bletchley","Scripture Union","2001","","24 pages, 30 cm","","YK.2002.b.5095","","English","Cover title"
"Christian art and symbolism in literature","general term","015856648","Monograph","Language material ; Text","Volume","GBB189508","9781846246814","","Falaschi-Ray, Sonia","","person","","Falaschi-Ray, Sonia [person]","Harry Potter : a Christian chronicle","","","","England","Brighton","Book Guild","2011","","xiv, 96 pages, illustrations, 22 cm","823.914","YK.2012.a.23520","","English",""
"Christian fiction, English--History and criticism","general term","011343874","Monograph","Language material ; Text","Volume","GBA384362","9780664226015","","Neal, C. W. (Connie W.)","1958-","person","","Neal, C. W. (Connie W.), 1958- [person]","The Gospel according to Harry Potter : spirituality in the stories of the world's most famous seeker","","","","England","London ; Louisville, Kentucky","Westminster John Knox Press","2002","","xvi, 166 pages, 22 cm","226.06","YK.2004.a.5205","","English",""
"Christianity and culture","general term","014533249","Monograph","Language material ; Text","Volume","","9783825804763","","Runge, Maurus","","person","","Runge, Maurus [person]","Vom Zauber der christlichen Botschaft : Plädoyer für einen Dialog zwischen Pastoraltheologie und Popularkultur an Hand der Harry-Potter-Romane","","Theologie ; Theologie und Praxis / B","22 [Theologie und Praxis / B] ; Band 86 [Theologie]","Germany","Berlin","","2007","","iv, 119 pages, 21 cm","261.58","YF.2010.a.28222","","English ; German","Published version of author's thesis (Bakkalaureatsarbeit) -- Päpstlichen Hochschule Sant'Anselmo, Rome, 2006"
"Christianity and literature","general term","009917669","Monograph","Language material ; Text","Volume","GBA323267","","","More, Jacques R. (Jacques Robert)","1958-","person","","More, Jacques R. (Jacques Robert), 1958- [person]","Harry Potter - the catalyst","","","","England","London","Jarom","2002","","7 pages, 21 cm","230","YK.2003.b.2128","","English",""
"Christianity and literature","general term","014533249","Monograph","Language material ; Text","Volume","","9783825804763","","Runge, Maurus","","person","","Runge, Maurus [person]","Vom Zauber der christlichen Botschaft : Plädoyer für einen Dialog zwischen Pastoraltheologie und Popularkultur an Hand der Harry-Potter-Romane","","Theologie ; Theologie und Praxis / B","22 [Theologie und Praxis / B] ; Band 86 [Theologie]","Germany","Berlin","","2007","","iv, 119 pages, 21 cm","261.58","YF.2010.a.28222","","English ; German","Published version of author's thesis (Bakkalaureatsarbeit) -- Päpstlichen Hochschule Sant'Anselmo, Rome, 2006"
"Christianity and literature","general term","015378096","Monograph","Language material ; Text","Volume","","9780881461626","","Killinger, John","","person","","Killinger, John [person]","The life, death, and resurrection of Harry Potter","","","","United States of America","Macon, Georgia","Mercer University Press","2009","1st edition","164 pages, 23 cm","823.914","m09/.33916","","English",""
"Christianity and literature--Russkai︠a︡ pravoslavnai︠a︡ t︠s︡erkovʹ","general term","012985093","Monograph","Language material ; Text","Volume","","9785765429013","","Kuraev, Andreĭ","","person","","Kuraev, Andreĭ [person]","'Garri Potter' v t︠s︡erkvi : mezhdu anafemoĭ i ulybkoĭ","","","","Russia","Saint Petersburg","NEVA","2003","","123 pages, 20 cm","","YF.2004.a.17009","","Russian","'Datʹ li skazam indulʹgent︠s︡ii︠u︡? Demonichna li neli︠u︡dʹ? Na chto namekaet 'Garri Potter'? Satanistka Rouling? Pravda 'Garri Pottera'--P [1] of cover"
"Christianity in literature","general term","014644440","Monograph","Language material ; Text","Volume","","9785170405848 ; 9785946633291","","Kuraev, Andreĭ","","person","","Kuraev, Andreĭ [person] ; Кураев, Андрей [person]","Fantazii︠a︡ i pravda 'Koda da Vinchi","Фантазия и правда 'Кода да Винчи'","","","Russia","Moskva ; Москва","Zebra E ; Зебра Е","2007","","526 pages, 21 cm","","YF.2008.a.22231","","Russian",""
"Church work with youth--Church of England","general term","014510914","Monograph","Language material ; Text","Volume","GBA819162","9780715141069","","Smith, Owen","1982-","person","","Smith, Owen, 1982- [person]","Mixing it up with ... Harry Potter : 12 sessions about faith for 9-13s","Harry Potter","","","England","London","Church House Publishing","2007","","xii, 35 pages, illustrations, 30 cm","259.23","YK.2012.b.12201","","English",""
"Cinematography--Special effects","general term","017871083","Monograph","Cartographic image ; Language material ; Still image ; Text","Sheet ; Volume","GBB677017","9781785652882","","Revenson, Jody","","person","author","Revenson, Jody, author [person]","Harry Potter - the artifact vault","","","","England","London","Titan","2016","","207 pages, illustrations (black and white and colour), 29 cm + 1 poster (folded)","791.4372","LC.31.b.17487","","English","'An Insight Editions book'"
"Cinematography--Special effects","general term","019494479","Monograph","Language material ; Still image ; Text","Volume","GBB9D3668","9780750991230","","Richardson, John (John Clifford)","1946-","person","author","Donner, Richard, writer [person] ; Richardson, John (John Clifford), 1946-, author [person] ; Owen, Gareth, 1973-, author [person]","Making movie magic : a lifetime creating special effects for James Bond, Harry Potter, Superman & more","","","","England","Stroud","History Press","2019","","226 pages, 61 unnumbered pages of plates, illustrations (black and white and colour), 26 cm","777.9","YKL.2021.b.798","","English","Filmography on pages 223-226"
"Cinematography--Special effects","general term","019674176","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBC006352","9780750994392","","Richardson, John","","person","author","Richardson, John, author [person]","Making movie magic : a lifetime creating special effects for James Bond, Harry Potter, Superman & more","","","","England","Stroud","History Press","2020","","1 online resource, illustrations (black and white and colour)","777.9","","","English","Additional physical form: Print version. 9780750991230 ; Previously issued in print: 2019"
"Cinematography--Special effects","general term","020248052","Monograph","Language material ; Still image ; Text","Volume","GBC1A5073","9780750997492","","Richardson, John (John Clifford)","1946-","person","author","Richardson, John (John Clifford), 1946-, author [person]","Making movie magic : a lifetime creating special effects for James Bond, Harry Potter, Superman & more","","","","England","Cheltenham","History Press","2021","","226 pages, illustrations (black and white and colour), 25 cm","777.9","","","English",""
"Civilization, Western","general term","019325870","Monograph","Language material ; Text","Volume","GBB9C8475","9781476673554","","","","","","Bell, Christopher E., 1974-, editor [person]","Inside the world of Harry Potter : critical essays on the books and films","","","","United States of America","Jefferson, North Carolina","McFarland","2018","","viii, 183 pages, 23 cm","823.914","YK.2019.a.3231","","English",""
"Classical literature--Influence","general term","017553378","Monograph","Language material ; Text","Volume","GBB6A0799","9780786499212","","Spencer, Richard A. (Richard Albert)","","person","author","Spencer, Richard A. (Richard Albert), author [person]","Harry Potter and the classical world : Greek and Roman allusions in J.K. Rowling's modern epic","","","","United States of America","Jefferson, North Carolina","McFarland","2015","","viii, 315 pages, 23 cm","823.914","YC.2016.a.7330","","English",""
